Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Address.Address,Address,Address,,Address,住所,住所,住所,false,true,false,true,false,false
000000000000000AAA,Address.AddressType,AddressType,Address,,AddressType,住所種別,住所種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,Address.CreatedBy,CreatedById,Address,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,Address.CreatedDate,CreatedDate,Address,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,Address.Description,Description,Address,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Address.DrivingDirections,DrivingDirections,Address,,DrivingDirections,道順,道順,テキスト(1000),false,true,false,true,false,true
000000000000000AAA,Address.Id,Id,Address,,Id,住所 ID,住所 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Address.IsDeleted,IsDeleted,Address,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Address.LastModifiedBy,LastModifiedById,Address,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Address.LastModifiedDate,LastModifiedDate,Address,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Address.LastReferencedDate,LastReferencedDate,Address,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Address.LastViewedDate,LastViewedDate,Address,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Address.LocationType,LocationType,Address,,LocationType,ロケーション種別,ロケーション種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,Address.Name,Name,Address,,Name,名前,名前,自動採番,false,false,true,true,false,true
000000000000000AAA,Address.Parent,ParentId,Address,,Parent,親,親,主従関係(ロケーション),false,false,true,true,true,true
000000000000000AAA,Address.RecordVisibility,RecordVisibilityId,Address,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,Address.SystemModstamp,SystemModstamp,Address,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,Address.TimeZone,TimeZone,Address,,TimeZone,タイムゾーン,タイムゾーン,選択リスト,false,true,false,true,true,true
000000000000000AAA,Address.UserRecordAccess,UserRecordAccessId,Address,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
