Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MsgChannelAvailability.CountryCode,CountryCode,MsgChannelAvailability,,CountryCode,国コード,国コード,選択リスト,false,true,false,true,true,true
000000000000000AAA,MsgChannelAvailability.CreatedBy,CreatedById,MsgChannelAvailability,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MsgChannelAvailability.CreatedDate,CreatedDate,MsgChannelAvailability,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MsgChannelAvailability.Id,Id,MsgChannelAvailability,,Id,メッセージングチャネル対応可能状況 ID,メッセージングチャネル対応可能状況 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MsgChannelAvailability.IsDeleted,IsDeleted,MsgChannelAvailability,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MsgChannelAvailability.LastModifiedBy,LastModifiedById,MsgChannelAvailability,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MsgChannelAvailability.LastModifiedDate,LastModifiedDate,MsgChannelAvailability,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MsgChannelAvailability.MessagingChannel,MessagingChannelId,MsgChannelAvailability,,MessagingChannel,メッセージングチャネル,メッセージングチャネル,主従関係(メッセージングチャネル),false,false,true,true,true,true
000000000000000AAA,MsgChannelAvailability.SystemModstamp,SystemModstamp,MsgChannelAvailability,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,MsgChannelAvailability.Type,Type,MsgChannelAvailability,,Type,種別,種別,選択リスト,false,false,false,true,true,true
