Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,BulkApiResultEvent.CreatedDate,CreatedDate,BulkApiResultEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,BulkApiResultEvent.EvaluationTime,EvaluationTime,BulkApiResultEvent,,EvaluationTime,評価時間,評価時間,数値(18、0),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.EventDate,EventDate,BulkApiResultEvent,,EventDate,イベント日,イベント日,日付/時間,false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.EventIdentifier,EventIdentifier,BulkApiResultEvent,,EventIdentifier,イベント識別子,イベント識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.EventUuid,EventUuid,BulkApiResultEvent,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.LoginHistory,LoginHistoryId,BulkApiResultEvent,,LoginHistory,ログイン履歴,ログイン履歴,参照関係(ログイン履歴),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.LoginKey,LoginKey,BulkApiResultEvent,,LoginKey,ログインキー,ログインキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.Policy,PolicyId,BulkApiResultEvent,,Policy,ポリシー,ポリシー,参照関係(Transaction Security Policy),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.PolicyOutcome,PolicyOutcome,BulkApiResultEvent,,PolicyOutcome,ポリシーの結果,ポリシーの結果,選択リスト,false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.Profile,ProfileId,BulkApiResultEvent,,Profile,プロファイル,プロファイル,参照関係(プロファイル),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.Query,Query,BulkApiResultEvent,,Query,クエリ,クエリ,テキスト(10000),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.RelatedEventIdentifier,RelatedEventIdentifier,BulkApiResultEvent,,RelatedEventIdentifier,関連イベント識別子,関連イベント識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.ReplayId,ReplayId,BulkApiResultEvent,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.Role,RoleId,BulkApiResultEvent,,Role,ロール,ロール,参照関係(ロール),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.SessionKey,SessionKey,BulkApiResultEvent,,SessionKey,セッションキー,セッションキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.SessionLevel,SessionLevel,BulkApiResultEvent,,SessionLevel,セッションレベル,セッションレベル,選択リスト,false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.SourceIp,SourceIp,BulkApiResultEvent,,SourceIp,アクセス元 IP,アクセス元 IP,テキスト(255),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.User,UserId,BulkApiResultEvent,,User,ユーザー,ユーザー,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,BulkApiResultEvent.Username,Username,BulkApiResultEvent,,Username,ユーザー名,ユーザー名,テキスト(255),false,true,false,false,false,false
