Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataObjectMetadataChgEvent.CreatedBy,CreatedById,DataObjectMetadataChgEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.CreatedDate,CreatedDate,DataObjectMetadataChgEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.CurrentValue,CurrentValue,DataObjectMetadataChgEvent,,CurrentValue,現在のメタデータ,現在のメタデータ,ロングテキストエリア(128000),false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.EventCreationDate,EventCreationDate,DataObjectMetadataChgEvent,,EventCreationDate,イベント作成時刻,イベント作成時刻,日付/時間,false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.EventPublishDate,EventPublishDate,DataObjectMetadataChgEvent,,EventPublishDate,イベント公開時刻,イベント公開時刻,日付/時間,false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.EventType,EventType,DataObjectMetadataChgEvent,,EventType,Data Cloud イベントの種別,Data Cloud イベントの種別,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.EventUuid,EventUuid,DataObjectMetadataChgEvent,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.PreviousValue,PreviousValue,DataObjectMetadataChgEvent,,PreviousValue,以前のメタデータ,以前のメタデータ,ロングテキストエリア(128000),false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.ReplayId,ReplayId,DataObjectMetadataChgEvent,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.SchemaVersion,SchemaVersion,DataObjectMetadataChgEvent,,SchemaVersion,スキーマバージョン,スキーマバージョン,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.SourceTableDeveloperName,SourceTableDeveloperName,DataObjectMetadataChgEvent,,SourceTableDeveloperName,ソースエンティティ API 参照名,ソースエンティティ API 参照名,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,DataObjectMetadataChgEvent.Trigger,Trigger,DataObjectMetadataChgEvent,,Trigger,このイベントを発生させたトリガー (挿入/更新/削除),このイベントを発生させたトリガー (挿入/更新/削除),テキスト(4000),false,true,false,false,false,false
