Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LoginAnomalyEvent.CreatedBy,CreatedById,LoginAnomalyEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.CreatedDate,CreatedDate,LoginAnomalyEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.EvaluationTime,EvaluationTime,LoginAnomalyEvent,,EvaluationTime,評価時間,評価時間,数値(18、0),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.EventDate,EventDate,LoginAnomalyEvent,,EventDate,イベント日,イベント日,日付/時間,false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.EventIdentifier,EventIdentifier,LoginAnomalyEvent,,EventIdentifier,イベント ID,イベント ID,テキスト(80),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.EventUuid,EventUuid,LoginAnomalyEvent,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.FeatureContribution,FeatureContribution,LoginAnomalyEvent,,FeatureContribution,FeatureContribution,FeatureContribution,数値(6、6),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.FeatureName,FeatureName,LoginAnomalyEvent,,FeatureName,FeatureName,FeatureName,テキスト(100),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.FeatureValue,FeatureValue,LoginAnomalyEvent,,FeatureValue,FeatureValue,FeatureValue,数値(6、6),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.LoginKey,LoginKey,LoginAnomalyEvent,,LoginKey,ログインキー,ログインキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.Policy,PolicyId,LoginAnomalyEvent,,Policy,ポリシー,ポリシー,参照関係(Transaction Security Policy),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.PolicyOutcome,PolicyOutcome,LoginAnomalyEvent,,PolicyOutcome,ポリシーの結果,ポリシーの結果,選択リスト,false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.ReplayId,ReplayId,LoginAnomalyEvent,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.Score,Score,LoginAnomalyEvent,,Score,スコア,スコア,数値(6、6),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.SecurityEventData,SecurityEventData,LoginAnomalyEvent,,SecurityEventData,SecurityEventData,SecurityEventData,ロングテキストエリア(131000),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.SessionKey,SessionKey,LoginAnomalyEvent,,SessionKey,セッションキー,セッションキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.SourceIp,SourceIp,LoginAnomalyEvent,,SourceIp,ソース IP アドレス,ソース IP アドレス,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.Summary,Summary,LoginAnomalyEvent,,Summary,サマリー,サマリー,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.User,UserId,LoginAnomalyEvent,,User,ユーザー,ユーザー,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEvent.Username,Username,LoginAnomalyEvent,,Username,ユーザー名,ユーザー名,テキスト(255),false,true,false,false,false,false
